SKU%Parent%Name%Short description%Description%Sale price%Regular price%Images%Categories%Attribute 1 name%Attribute 1 value(s)%Attribute 1 default%Attribute 1 global%Attribute 2 name%Attribute 2 value(s)%Attribute 2 default%Attribute 2 global%Type%Stock
489310425911%%Анорак-ветровка "Черный"%мембрана Oxford%<strong>Ткань: </strong>Oxford&nbsp;210d<br /><strong>Детали:</strong><br /><ul><li> подклад таффета;</li><li>водонепроницаемая молнии;</li><li>карманы на кнопках: 2 побокам, 1 на груди</li><li>вышивка на внутренней стороне клапана кармана на груди.</li></ul><br /><br />%%%https://static.tildacdn.com/tild6163-3266-4836-b832-633363333835/DSC03313.png,https://static.tildacdn.com/tild3239-6536-4231-b063-646332656362/DSC03069.jpg,https://static.tildacdn.com/tild3066-6234-4135-b964-396561356437/DSC03049.jpg,https://static.tildacdn.com/tild3464-3632-4533-a661-656634336130/DSC03048.jpg,https://static.tildacdn.com/tild3133-6666-4864-a636-643635363963/DSC03067.jpg,https://static.tildacdn.com/tild3765-3264-4061-b466-623135373535/DSC03060.jpg,https://static.tildacdn.com/tild6230-3262-4133-b866-393234383362/DSC03082.jpg%%Размер%S,M,L,XL%S%Цвет%черный%черный%variable%
960147508561%489310425911%%%%4 500.00%5 200.00%%%Размер%S%%1%Цвет%черный%%1%variation%1
511650380851%489310425911%%%%4 500.00%5 200.00%%%Размер%M%%1%Цвет%черный%%1%variation%0
291349322831%489310425911%%%%4 500.00%5 200.00%%%Размер%L%%1%Цвет%черный%%1%variation%0
955339277691%489310425911%%%%3 300.00%5 200.00%%%Размер%XL%%1%Цвет%черный%%1%variation%1
317647959271%%Двусторонняя худи "Черный/Хаки"%футер с начесом + флис%Утепленная двусторонняя худи для катания Double Grab.<br /><br /><strong>Ткань:</strong><br /><ul><li>футер с начесом с одной стороны;</li><li>флис с другой.</li></ul><strong>Детали:</strong><br /><ul><li>2 кармана для ски-пасса;</li><li>2 глубоких кенгуру-карамана;</li><li>сквозной кармана на замке;</li><li>глубокий капюшон с высоким горлом;</li><li>манжеты-подпальчники.</li></ul><br />Температура катания:<br /><br /><ul><li>с термобельем и кофтой: до минус 15 градусов;</li><li>с термобельем и курткой подниз: до минус 25 градусов.</li></ul>%%%https://static.tildacdn.com/stor3566-3135-4136-b238-663365356665/73556153.jpg,https://static.tildacdn.com/stor3036-6433-4732-b039-386538666462/45724756.jpg,https://static.tildacdn.com/stor3264-6261-4635-b736-623937333663/35118265.jpg,https://static.tildacdn.com/stor6266-3933-4563-b566-323166323732/20413383.jpg,https://static.tildacdn.com/stor3565-3962-4062-b364-663032656635/77567912.jpg,https://static.tildacdn.com/stor3836-6638-4065-a336-343364303966/50937549.jpg,https://static.tildacdn.com/stor3335-3334-4335-b432-346331353037/71565282.jpg,https://static.tildacdn.com/stor3937-6462-4731-b731-383861313363/13998020.jpg,https://static.tildacdn.com/stor3739-6461-4866-a663-363437356332/77559085.jpg,https://static.tildacdn.com/stor3931-3063-4230-b930-366561613066/84789016.jpg,https://static.tildacdn.com/stor3236-3838-4235-b838-386432383536/96559395.jpg,https://static.tildacdn.com/stor3836-3533-4037-a139-326331343039/69815560.jpg,https://static.tildacdn.com/stor3665-6665-4362-b932-343261396436/74091607.jpg,https://static.tildacdn.com/stor3365-3631-4761-b763-643432333033/60533131.jpg,https://static.tildacdn.com/tild3638-3733-4832-b037-633066313139/DSCF5386.png,https://static.tildacdn.com/tild6136-3863-4036-b334-626132666437/DSCF5391.png,https://static.tildacdn.com/tild6265-3038-4937-b035-663362666635/___1.jpg%hudisnow%Размер%S,M,L,XL%S%Цвет%хаки%хаки%variable%
124669650661%317647959271%%%%%9 100.00%%%Размер%S%%1%Цвет%хаки%%1%variation%0
180008843041%317647959271%%%%%9 100.00%%%Размер%M%%1%Цвет%хаки%%1%variation%0
579128580551%317647959271%%%%%9 100.00%%%Размер%L%%1%Цвет%хаки%%1%variation%0
893065425291%317647959271%%%%%9 100.00%%%Размер%XL%%1%Цвет%хаки%%1%variation%0
